unified_id,SDCS,STATE_CODE_001,COUNTY_CODE_003,HIGHWAY_DISTRICT_002,ROUTE_PREFIX_005B,SERVICE_LEVEL_005C,BASE_HWY_NETWORK_012,TOLL_020,MAINTENANCE_021,FUNCTIONAL_CLASS_026,DESIGN_LOAD_031,MEDIAN_CODE_033,STRUCTURE_FLARED_035,RAILINGS_036A,TRANSITIONS_036B,APPR_RAIL_036C,APPR_RAIL_END_036D,HISTORY_037,NAVIGATION_038,OPEN_CLOSED_POSTED_041,SERVICE_ON_042A,SERVICE_UND_042B,STRUCTURE_KIND_043A,STRUCTURE_TYPE_043B,VERT_CLR_UND_REF_054A,LAT_UND_REF_055A,DECK_COND_058,SUPERSTRUCTURE_COND_059,SUBSTRUCTURE_COND_060,CHANNEL_COND_061,OPR_RATING_METH_063,INV_RATING_METH_065,STRUCTURAL_EVAL_067,DECK_GEOMETRY_EVAL_068,UNDCLRENCE_EVAL_069,POSTING_EVAL_070,WATERWAY_EVAL_071,APPR_ROAD_EVAL_072,WORK_PROPOSED_075A,FRACTURE_092A,UNDWATER_LOOK_SEE_092B,SPEC_INSPECT_092C,STRAHNET_HIGHWAY_100,PARALLEL_STRUCTURE_101,TRAFFIC_DIRECTION_102,HIGHWAY_SYSTEM_104,FEDERAL_LANDS_105,DECK_STRUCTURE_TYPE_107,SURFACE_TYPE_108A,MEMBRANE_TYPE_108B,DECK_PROTECTION_108C,NATIONAL_NETWORK_110,PIER_PROTECTION_111,SCOUR_CRITICAL_113,LOWEST_RATING,PRE_CODE_ERA,WAS_RECONSTRUCTED,NFHL_FLD_ZONE,NFHL_SFHA
"('0007353A', '(47.92275, -122.8130556)')",4.0,48,13,3.0,3,2,2,3,-999.0,8,6.0,1,1,1,1,2,2,5,3,1,2,2,2,2,1,1,8.0,8.0,8.0,-999.0,-999.0,-999.0,8.0,6.0,5.0,6,11,9,-999.0,-999.0,-999.0,-999.0,-999.0,2,3,2,1,2,7,3,1,2,-999.0,11,8,2,2,8.0,1.0
"('0007360A', '(46.36941944, -123.8080222)')",4.0,48,22,4.0,3,2,2,3,-999.0,8,6.0,1,1,2,1,2,1,5,1,1,6,6,3,2,2,2,5.0,7.0,8.0,9.0,1.0,1.0,7.0,5.0,-999.0,6,9,9,-999.0,-999.0,-999.0,-999.0,2.0,2,3,2,1,2,2,1,1,2,-999.0,6,5,2,2,2.0,2.0
"('0007360B', '(46.37361111, -123.8036111)')",4.0,48,22,4.0,3,2,2,3,-999.0,8,6.0,1,1,2,2,2,1,5,1,1,2,6,3,2,2,2,8.0,8.0,8.0,9.0,1.0,1.0,8.0,6.0,-999.0,6,9,9,-999.0,-999.0,-999.0,-999.0,2.0,2,3,2,1,2,2,1,1,2,-999.0,6,8,2,2,2.0,2.0
"('0007376A', '(47.46783889, -122.2183528)')",4.0,48,14,1.0,1,2,2,3,-999.0,2,6.0,1,1,2,2,2,2,4,3,1,2,2,6,13,1,1,7.0,7.0,8.0,-999.0,-999.0,-999.0,6.0,10.0,4.0,6,11,9,-999.0,-999.0,-999.0,-999.0,1.0,2,3,2,1,2,2,1,2,2,-999.0,11,7,2,2,8.0,1.0
"('0007380A', '(46.66472222, -123.8080556)')",4.0,48,22,4.0,2,2,2,3,-999.0,8,6.0,1,1,1,1,1,1,5,3,1,6,1,3,2,2,2,7.0,8.0,8.0,-999.0,-999.0,-999.0,6.0,8.0,-999.0,6,11,9,-999.0,-999.0,-999.0,-999.0,2.0,2,3,2,1,2,7,1,1,2,-999.0,11,7,2,2,8.0,1.0
"('0007376C', '(47.46888889, -122.2080556)')",4.0,48,14,1.0,1,2,2,3,-999.0,2,6.0,4,1,2,2,2,2,4,3,1,2,2,6,13,1,1,8.0,8.0,8.0,-999.0,1.0,1.0,8.0,10.0,5.0,6,11,9,-999.0,-999.0,-999.0,-999.0,1.0,2,3,2,1,2,4,1,2,2,-999.0,11,8,2,2,8.0,1.0
"('0007399A', '(46.17813889, -123.0308333)')",4.0,48,4,4.0,3,2,2,3,-999.0,8,6.0,1,1,2,1,2,2,5,1,1,2,6,6,13,2,2,8.0,8.0,8.0,7.0,-999.0,-999.0,5.0,3.0,-999.0,6,9,9,-999.0,-999.0,-999.0,-999.0,-999.0,2,3,2,1,2,4,1,1,2,-999.0,6,8,2,2,8.0,1.0
"('0007401A', '(47.44388889, -122.2686111)')",4.0,48,14,1.0,4,2,1,3,-999.0,5,6.0,1,1,1,1,2,1,5,3,1,6,2,6,13,1,1,8.0,8.0,7.0,-999.0,1.0,1.0,7.0,4.0,4.0,6,11,9,-999.0,-999.0,-999.0,-999.0,-999.0,2,3,1,1,2,2,1,1,1,-999.0,11,7,2,2,8.0,1.0
"('0007401B', '(47.45072222, -122.2652778)')",4.0,48,14,1.0,1,2,2,3,-999.0,2,7.0,1,1,2,2,2,2,5,3,1,2,1,6,13,2,2,7.0,8.0,8.0,-999.0,-999.0,-999.0,5.0,7.0,-999.0,6,11,9,-999.0,-999.0,-999.0,-999.0,1.0,2,2,2,1,2,4,1,2,2,-999.0,11,7,2,2,8.0,1.0
"('0007401C', '(47.45766667, -122.2638056)')",4.0,48,14,1.0,4,2,1,3,-999.0,6,6.0,1,1,2,2,2,2,5,3,1,6,2,6,13,1,1,8.0,7.0,7.0,-999.0,1.0,1.0,7.0,3.0,5.0,6,11,9,-999.0,-999.0,-999.0,-999.0,-999.0,3,3,1,1,2,2,1,1,1,-999.0,11,7,2,2,8.0,1.0
