unified_id,PGA,S1,SDS,FPGA,MACRO_AGE_MIN,MIN_VERT_CLR_010,NAV_VERT_CLR_MT_039,NAV_HORR_CLR_MT_040,HORR_CLR_MT_047,VERT_CLR_OVER_MT_053,VERT_CLR_UND_054B,OPERATING_RATING_064,DETOUR_KILOS_019,YEAR_BUILT_027,YEAR_BUILT_027_DIFF,TRAFFIC_LANES_ON_028A,TRAFFIC_LANES_UND_028B,ADT_029,APPR_WIDTH_MT_032,DEGREES_SKEW_034,MAIN_UNIT_SPANS_045,APPR_SPANS_046,MAX_SPAN_LEN_MT_048,STRUCTURE_LEN_MT_049,ROADWAY_WIDTH_MT_051,DECK_WIDTH_MT_052,INSPECT_FREQ_MONTHS_091,YEAR_RECONSTRUCTED_106,YEAR_RECONSTRUCTED_106_DIFF,PERCENT_ADT_TRUCK_109,FUTURE_ADT_114,DECK_AREA,NFHL_STATIC_BFE,PGA_2475,SA02_2475,SA10_2475
"('60301000', '(46.06961667, -121.9361639)')",-1.8548363486035,-1.455794345212711,-1.9319362407933087,2.671976617349018,-0.3109212046668982,-999.0,-999.0,-999.0,-999.0,-999.0,-0.5807036957965714,-0.1331200918069941,4.804666190774565,-0.3710260905409772,0.3710260905409792,-0.2709244192963464,-0.4543899726601521,-0.5612163945349442,-0.5648616961668328,-0.5864854038507235,-0.0101406975219474,-0.1518712284672707,0.157128601803543,-0.1570320593055489,-0.3972915877051369,-0.4384885721648531,-0.4238662494446721,-0.4115182771344981,-999.0,-999.0,-0.5619788234658992,-0.1946512297942319,-0.1922351453013102,-1.743008151634252,-1.8150210850655248,-1.4924558303487592
"('60301000', '(46.09178889, -121.9098222)')",-1.8459289403614385,-1.455794345212711,-1.9241847586908032,2.6542100076519395,-0.3109212046668982,-999.0,-999.0,-999.0,-999.0,-999.0,-0.5807036957965714,-0.73911290545641,4.804666190774565,-0.3710260905409772,0.3710260905409792,-0.2709244192963464,-0.4543899726601521,-0.5612163945349442,-0.5648616961668328,-0.5864854038507235,-0.0101406975219474,-0.1518712284672707,-0.1509106928116639,-0.3133742211038587,-0.3972915877051369,-0.4384885721648531,-0.4238662494446721,-0.4115182771344981,-999.0,-999.0,-0.5619788234658992,-0.2584247673351389,-0.1922351453013102,-1.743008151634252,-1.8150210850655248,-1.4924558303487592
"('60301000', '(46.17943611, -121.8525)')",-1.7390400414567024,-1.4284601327588,-1.8234154913582323,2.4410106912869685,1.0135456800328164,-999.0,-999.0,-999.0,-999.0,-999.0,-0.5807036957965714,0.0373153870319041,4.804666190774565,-0.2493021197664113,0.2493021197664133,-0.2709244192963464,-0.4543899726601521,-0.5612163945349442,-0.5648616961668328,0.9711221164287616,-0.3765479594546665,0.5740968811515701,-0.1509106928116639,-0.2013395545520334,-0.3038164359112572,-0.3568472256941887,2.2482039875933246,-0.4115182771344981,-999.0,-999.0,-0.5619788234658992,-0.2049437201187397,-0.1922351453013102,-1.6236035381788176,-1.680600199622775,-1.4795393871435845
"('60301000', '(46.14307222, -121.8981611)')",-1.756854857940825,-1.4193487286074964,-1.8466699376657487,2.4765439106811304,-0.3109212046668982,-999.0,-999.0,-999.0,-999.0,-999.0,-0.5807036957965714,0.2077508658708024,4.804666190774565,-0.3304514336161219,0.3304514336161239,-0.2709244192963464,-0.4543899726601521,-0.5477859781457256,-1.0714773673025977,-0.5864854038507235,-0.193344328488307,0.3321075112786231,-0.0381312789361509,-0.0950015659604706,-0.3972915877051369,-0.3704541167726328,-0.4238662494446721,-0.4115182771344981,-999.0,0.7850248278764639,-0.5478318640677479,-0.1603996528135295,-0.1922351453013102,-1.6236035381788176,-1.680600199622775,-1.4795393871435845
"('60301000', '(46.18296944, -121.8446306)')",-1.7390400414567024,-1.4375715369101036,-1.8234154913582323,2.4410106912869685,1.0135456800328164,-999.0,-999.0,-999.0,-999.0,-999.0,-0.5807036957965714,0.4255295332760614,4.804666190774565,-0.2493021197664113,0.2493021197664133,-0.2709244192963464,-0.4543899726601521,-0.5612163945349442,-0.5648616961668328,-0.5864854038507235,-0.0101406975219474,-0.1518712284672707,-0.0381312789361509,-0.2494448351053595,-0.3038164359112572,-0.3568472256941887,2.2482039875933246,-0.4115182771344981,-999.0,-999.0,-0.5619788234658992,-0.2259042534363805,-0.1922351453013102,-1.6236035381788176,-1.680600199622775,-1.4795393871435845
"('60301000', '(46.20056944, -121.7203917)')",-1.8637437568455608,-1.546908386725747,-1.9241847586908032,2.689743227046101,1.0135456800328164,-999.0,-999.0,-999.0,-999.0,-999.0,-0.5807036957965714,0.8090093606635824,4.804666190774565,-0.0870034920669901,0.0870034920669921,-0.2709244192963464,-0.4543899726601521,-0.5612163945349442,-0.5648616961668328,-0.5864854038507235,-0.0101406975219474,-0.1518712284672707,-0.1155619212984433,-0.2880556523915818,-0.1012869403578508,-0.1799576416744159,2.2482039875933246,-0.4115182771344981,-999.0,-999.0,-0.5619788234658992,-0.2310945086769889,-0.1922351453013102,-1.6236035381788176,-1.680600199622775,-1.4795393871435845
"('60301000', '(46.10565278, -121.9877111)')",-1.7390400414567024,-1.3646803036996749,-1.8311669734607376,2.4410106912869685,0.3579259455310036,-999.0,-999.0,-999.0,-999.0,-999.0,-0.5807036957965714,-0.7817217751661344,4.804666190774565,0.0347204787075757,-0.0347204787075737,-1.0983467912181903,-0.4543899726601521,-0.5620641616824364,-1.0714773673025977,-0.5864854038507235,-0.3765479594546665,0.816086251024517,-0.0633804014455941,-0.0785444962974906,-0.958142498468416,-0.6970195026552906,2.2482039875933246,-0.4115182771344981,-999.0,-999.0,-0.5628551837825989,-0.1980898839163309,-0.1922351453013102,-1.3952219356743465,-1.4532126688806897,-1.3130042651391851
"('60301000', '(46.23651944, -121.6439139)')",-1.872651165087622,-1.5833540033309614,-1.9319362407933087,2.70750983674318,1.0135456800328164,-999.0,-999.0,-999.0,-999.0,-999.0,-0.5807036957965714,-0.3935076289219775,4.804666190774565,-0.1681528059167007,0.1681528059167027,-0.2709244192963464,-0.4543899726601521,-0.5612163945349442,-0.5648616961668328,0.9711221164287616,-0.0101406975219474,-0.1518712284672707,-0.1660601663173297,-0.3171720064107002,-0.3038164359112572,-0.3432403346157447,2.2482039875933246,-0.4115182771344981,-999.0,-999.0,-0.5619788234658992,-0.2546545706227694,-0.1922351453013102,-1.8043953336211485,-1.8537319588364016,-1.6167909578725954
"('60301000', '(46.24510833, -121.6285028)')",-1.872651165087622,-1.592465407482265,-1.9319362407933087,2.70750983674318,-0.3109212046668982,-999.0,-999.0,-999.0,-999.0,-999.0,-0.5807036957965714,-0.2230721500830792,4.804666190774565,-0.1275781489918454,0.1275781489918474,-0.2709244192963464,-0.4543899726601521,-0.5612163945349442,-0.5648616961668328,0.1403981056130361,-0.3765479594546665,0.3321075112786231,0.0325662640902899,-0.2083021609479096,-0.2414996680486706,-0.3024196613804124,2.2482039875933246,-0.4115182771344981,-999.0,-999.0,-0.5619788234658992,-0.2029192565144323,-0.1922351453013102,-1.8043953336211485,-1.8537319588364016,-1.6167909578725954
"('60301000', '(46.12782222, -121.9887917)')",-1.694503000246396,-1.337346091245764,-1.784658080845705,2.3521776428015624,0.3579259455310036,-999.0,-999.0,-999.0,-999.0,-999.0,-0.5807036957965714,1.026788028068841,4.804666190774565,0.5621910187306945,-0.5621910187306924,-1.0983467912181903,-0.4543899726601521,-0.5634027413890031,-1.0714773673025977,0.9711221164287616,-0.3765479594546665,-0.1518712284672707,0.1924773733167635,-0.2323548012245727,-0.958142498468416,-0.955550433145728,-0.4238662494446721,-0.4115182771344981,-999.0,-999.0,-0.5642636200058662,-0.2691925665058755,-0.1922351453013102,-1.3952219356743465,-1.4532126688806897,-1.3130042651391851
